,Book,Chapter,Number of Verses
0,Genesis,1,31
1,Genesis,2,25
2,Genesis,3,24
3,Genesis,4,26
4,Genesis,5,32
5,Genesis,6,22
6,Genesis,7,24
7,Genesis,8,22
8,Genesis,9,29
9,Genesis,10,32
10,Genesis,11,32
11,Genesis,12,20
12,Genesis,13,18
13,Genesis,14,24
14,Genesis,15,21
15,Genesis,16,16
16,Genesis,17,27
17,Genesis,18,33
18,Genesis,19,38
19,Genesis,20,18
20,Genesis,21,34
21,Genesis,22,24
22,Genesis,23,20
23,Genesis,24,67
24,Genesis,25,34
25,Genesis,26,35
26,Genesis,27,46
27,Genesis,28,22
28,Genesis,29,35
29,Genesis,30,43
30,Genesis,31,55
31,Genesis,32,32
32,Genesis,33,20
33,Genesis,34,31
34,Genesis,35,29
35,Genesis,36,43
36,Genesis,37,36
37,Genesis,38,30
38,Genesis,39,23
39,Genesis,40,23
40,Genesis,41,57
41,Genesis,42,38
42,Genesis,43,34
43,Genesis,44,34
44,Genesis,45,28
45,Genesis,46,34
46,Genesis,47,31
47,Genesis,48,22
48,Genesis,49,33
49,Genesis,50,26
50,Exodus,1,22
51,Exodus,2,25
52,Exodus,3,22
53,Exodus,4,31
54,Exodus,5,23
55,Exodus,6,30
56,Exodus,7,25
57,Exodus,8,32
58,Exodus,9,35
59,Exodus,10,29
60,Exodus,11,10
61,Exodus,12,51
62,Exodus,13,22
63,Exodus,14,31
64,Exodus,15,27
65,Exodus,16,36
66,Exodus,17,16
67,Exodus,18,27
68,Exodus,19,25
69,Exodus,20,26
70,Exodus,21,36
71,Exodus,22,31
72,Exodus,23,33
73,Exodus,24,18
74,Exodus,25,40
75,Exodus,26,37
76,Exodus,27,21
77,Exodus,28,43
78,Exodus,29,46
79,Exodus,30,38
80,Exodus,31,18
81,Exodus,32,35
82,Exodus,33,23
83,Exodus,34,35
84,Exodus,35,35
85,Exodus,36,38
86,Exodus,37,29
87,Exodus,38,31
88,Exodus,39,43
89,Exodus,40,38
90,Leviticus,1,17
91,Leviticus,2,16
92,Leviticus,3,17
93,Leviticus,4,35
94,Leviticus,5,19
95,Leviticus,6,30
96,Leviticus,7,38
97,Leviticus,8,36
98,Leviticus,9,24
99,Leviticus,10,20
100,Leviticus,11,47
101,Leviticus,12,8
102,Leviticus,13,59
103,Leviticus,14,57
104,Leviticus,15,33
105,Leviticus,16,34
106,Leviticus,17,16
107,Leviticus,18,30
108,Leviticus,19,37
109,Leviticus,20,27
110,Leviticus,21,24
111,Leviticus,22,33
112,Leviticus,23,44
113,Leviticus,24,23
114,Leviticus,25,55
115,Leviticus,26,46
116,Leviticus,27,34
117,Numbers,1,54
118,Numbers,2,34
119,Numbers,3,51
120,Numbers,4,49
121,Numbers,5,31
122,Numbers,6,27
123,Numbers,7,89
124,Numbers,8,26
125,Numbers,9,23
126,Numbers,10,36
127,Numbers,11,35
128,Numbers,12,16
129,Numbers,13,33
130,Numbers,14,45
131,Numbers,15,41
132,Numbers,16,50
133,Numbers,17,13
134,Numbers,18,32
135,Numbers,19,22
136,Numbers,20,29
137,Numbers,21,35
138,Numbers,22,41
139,Numbers,23,30
140,Numbers,24,25
141,Numbers,25,18
142,Numbers,26,65
143,Numbers,27,23
144,Numbers,28,31
145,Numbers,29,40
146,Numbers,30,16
147,Numbers,31,54
148,Numbers,32,42
149,Numbers,33,56
150,Numbers,34,29
151,Numbers,35,34
152,Numbers,36,13
153,Deuteronomy,1,46
154,Deuteronomy,2,37
155,Deuteronomy,3,29
156,Deuteronomy,4,49
157,Deuteronomy,5,33
158,Deuteronomy,6,25
159,Deuteronomy,7,26
160,Deuteronomy,8,20
161,Deuteronomy,9,29
162,Deuteronomy,10,22
163,Deuteronomy,11,32
164,Deuteronomy,12,32
165,Deuteronomy,13,18
166,Deuteronomy,14,29
167,Deuteronomy,15,23
168,Deuteronomy,16,22
169,Deuteronomy,17,20
170,Deuteronomy,18,22
171,Deuteronomy,19,21
172,Deuteronomy,20,20
173,Deuteronomy,21,23
174,Deuteronomy,22,30
175,Deuteronomy,23,25
176,Deuteronomy,24,22
177,Deuteronomy,25,19
178,Deuteronomy,26,19
179,Deuteronomy,27,26
180,Deuteronomy,28,68
181,Deuteronomy,29,29
182,Deuteronomy,30,20
183,Deuteronomy,31,30
184,Deuteronomy,32,52
185,Deuteronomy,33,29
186,Deuteronomy,34,12
187,Joshua,1,18
188,Joshua,2,24
189,Joshua,3,17
190,Joshua,4,24
191,Joshua,5,15
192,Joshua,6,27
193,Joshua,7,26
194,Joshua,8,35
195,Joshua,9,27
196,Joshua,10,43
197,Joshua,11,23
198,Joshua,12,24
199,Joshua,13,33
200,Joshua,14,15
201,Joshua,15,63
202,Joshua,16,10
203,Joshua,17,18
204,Joshua,18,28
205,Joshua,19,51
206,Joshua,20,9
207,Joshua,21,45
208,Joshua,22,34
209,Joshua,23,16
210,Joshua,24,33
211,Judges,1,36
212,Judges,2,23
213,Judges,3,31
214,Judges,4,24
215,Judges,5,31
216,Judges,6,40
217,Judges,7,25
218,Judges,8,35
219,Judges,9,57
220,Judges,10,18
221,Judges,11,40
222,Judges,12,15
223,Judges,13,25
224,Judges,14,20
225,Judges,15,20
226,Judges,16,31
227,Judges,17,13
228,Judges,18,31
229,Judges,19,30
230,Judges,20,48
231,Judges,21,25
232,Ruth,1,22
233,Ruth,2,23
234,Ruth,3,18
235,Ruth,4,22
236,1 Samuel,1,28
237,1 Samuel,2,36
238,1 Samuel,3,21
239,1 Samuel,4,22
240,1 Samuel,5,12
241,1 Samuel,6,21
242,1 Samuel,7,17
243,1 Samuel,8,22
244,1 Samuel,9,27
245,1 Samuel,10,27
246,1 Samuel,11,15
247,1 Samuel,12,25
248,1 Samuel,13,23
249,1 Samuel,14,52
250,1 Samuel,15,35
251,1 Samuel,16,23
252,1 Samuel,17,58
253,1 Samuel,18,30
254,1 Samuel,19,24
255,1 Samuel,20,42
256,1 Samuel,21,15
257,1 Samuel,22,23
258,1 Samuel,23,29
259,1 Samuel,24,22
260,1 Samuel,25,44
261,1 Samuel,26,25
262,1 Samuel,27,12
263,1 Samuel,28,25
264,1 Samuel,29,11
265,1 Samuel,30,31
266,1 Samuel,31,13
267,2 Samuel,1,27
268,2 Samuel,2,32
269,2 Samuel,3,39
270,2 Samuel,4,12
271,2 Samuel,5,25
272,2 Samuel,6,23
273,2 Samuel,7,29
274,2 Samuel,8,18
275,2 Samuel,9,13
276,2 Samuel,10,19
277,2 Samuel,11,27
278,2 Samuel,12,31
279,2 Samuel,13,39
280,2 Samuel,14,33
281,2 Samuel,15,37
282,2 Samuel,16,23
283,2 Samuel,17,29
284,2 Samuel,18,33
285,2 Samuel,19,43
286,2 Samuel,20,26
287,2 Samuel,21,22
288,2 Samuel,22,51
289,2 Samuel,23,39
290,2 Samuel,24,25
291,1 Kings,1,53
292,1 Kings,2,46
293,1 Kings,3,28
294,1 Kings,4,34
295,1 Kings,5,18
296,1 Kings,6,38
297,1 Kings,7,51
298,1 Kings,8,66
299,1 Kings,9,28
300,1 Kings,10,29
301,1 Kings,11,43
302,1 Kings,12,33
303,1 Kings,13,34
304,1 Kings,14,31
305,1 Kings,15,34
306,1 Kings,16,34
307,1 Kings,17,24
308,1 Kings,18,46
309,1 Kings,19,21
310,1 Kings,20,43
311,1 Kings,21,29
312,1 Kings,22,53
313,2 Kings,1,18
314,2 Kings,2,25
315,2 Kings,3,27
316,2 Kings,4,44
317,2 Kings,5,27
318,2 Kings,6,33
319,2 Kings,7,20
320,2 Kings,8,29
321,2 Kings,9,37
322,2 Kings,10,36
323,2 Kings,11,21
324,2 Kings,12,21
325,2 Kings,13,25
326,2 Kings,14,29
327,2 Kings,15,38
328,2 Kings,16,20
329,2 Kings,17,41
330,2 Kings,18,37
331,2 Kings,19,37
332,2 Kings,20,21
333,2 Kings,21,26
334,2 Kings,22,20
335,2 Kings,23,37
336,2 Kings,24,20
337,2 Kings,25,30
338,1 Chronicles,1,54
339,1 Chronicles,2,55
340,1 Chronicles,3,24
341,1 Chronicles,4,43
342,1 Chronicles,5,26
343,1 Chronicles,6,81
344,1 Chronicles,7,40
345,1 Chronicles,8,40
346,1 Chronicles,9,44
347,1 Chronicles,10,14
348,1 Chronicles,11,47
349,1 Chronicles,12,40
350,1 Chronicles,13,14
351,1 Chronicles,14,17
352,1 Chronicles,15,29
353,1 Chronicles,16,43
354,1 Chronicles,17,27
355,1 Chronicles,18,17
356,1 Chronicles,19,19
357,1 Chronicles,20,8
358,1 Chronicles,21,30
359,1 Chronicles,22,19
360,1 Chronicles,23,32
361,1 Chronicles,24,31
362,1 Chronicles,25,31
363,1 Chronicles,26,32
364,1 Chronicles,27,34
365,1 Chronicles,28,21
366,1 Chronicles,29,30
367,2 Chronicles,1,17
368,2 Chronicles,2,18
369,2 Chronicles,3,17
370,2 Chronicles,4,22
371,2 Chronicles,5,14
372,2 Chronicles,6,42
373,2 Chronicles,7,22
374,2 Chronicles,8,18
375,2 Chronicles,9,31
376,2 Chronicles,10,19
377,2 Chronicles,11,23
378,2 Chronicles,12,16
379,2 Chronicles,13,22
380,2 Chronicles,14,15
381,2 Chronicles,15,19
382,2 Chronicles,16,14
383,2 Chronicles,17,19
384,2 Chronicles,18,34
385,2 Chronicles,19,11
386,2 Chronicles,20,37
387,2 Chronicles,21,20
388,2 Chronicles,22,12
389,2 Chronicles,23,21
390,2 Chronicles,24,27
391,2 Chronicles,25,28
392,2 Chronicles,26,23
